,Ticker,Expected_Annual_Return,Stock_Volatility,Sharpe_Ratio,Beta,Risk_Free_Return,Enterprise_Value,Forward_P/E,Revenue_Growth
19,AMT,8.8987,15.7509,0.5116,0.14,3.3555,23818000000.0,39.841,17.57
20,AMZN,88.0956,114.5323,0.7618,0.78,6.1691,84460000000.0,90.326,42.56
21,AON,10.5248,13.5595,0.7142,0.73,5.9492,18837000000.0,12.916,50.58
22,APA,-6.064,26.0076,-0.2655,1.78,10.5653,40950000000.0,8.198999999999998,34.95
23,APC,0.7137,25.8046,-0.0049,2.35,13.0711,45684000000.0,19.559000000000005,28.55
24,APD,9.5667,21.3873,0.408,1.1,7.5758,20615000000.0,16.562,19.279999999999998
25,APH,6.3257,8.7312,0.6283,1.53,9.4662,6305000000.0,17.055,26.95
26,ATVI,3.5483,6.1733,0.4387,0.71,5.8613,11543000000.0,15.488,6.109999999999999
27,AVB,13.7227,29.4564,0.4373,0.76,6.0811,10996000000.0,19.276999999999997,16.470000000000002
28,AVY,4.7726,11.2477,0.3496,1.28,8.3672,7090000000.0,17.065999999999995,16.880000000000003
29,AXP,4.7425,14.4615,0.2699,1.03,7.2681,118654000000.0,11.110000000000001,14.88
30,AZO,90.3539,92.1845,0.971,0.2,3.6192,13602000000.0,13.595999999999998,7.080000000000001
31,BA,14.2304,23.8693,0.561,1.04,7.3121,68979000000.0,12.677999999999999,9.620000000000001
32,BAC,0.9168,4.2021,0.0183,1.78,10.5653,389256000000.0,8.318,23.78
33,BAX,1.8132,6.9874,0.1393,0.8,6.257,31305000000.0,13.209,2.4100000000000006
34,BBT,3.0334,7.5001,0.2925,1.13,7.7077,39923000000.0,8.919,3.17
35,BBY,0.3547,12.1963,-0.0398,1.74,10.3894,9656000000.0,6.92,3.8699999999999997
36,BDX,12.4355,19.8222,0.585,0.83,6.3889,17856000000.0,12.485000000000001,8.069999999999999
37,BIIB,32.8859,86.0054,0.3726,1.22,8.1034,28908000000.0,16.57,14.600000000000003
38,BK,2.7302,7.7711,0.2432,1.34,8.6309,20756000000.0,9.013,48.36999999999999
39,BLL,6.9829,11.2534,0.5459,0.86,6.5208,7954000000.0,12.771999999999997,10.11
40,BMY,4.6925,11.5824,0.3326,0.12,3.2675,53976000000.0,17.521000000000004,5.33
41,BSX,1.8049,3.3771,0.2857,1.24,8.1913,17634000000.0,15.150000000000002,14.949999999999998
42,BWA,3.2251,12.3853,0.1926,1.78,10.5653,5298000000.0,11.668,12.819999999999999
43,BXP,8.3924,22.7819,0.3315,0.84,6.4328,19676000000.0,18.454,6.3
44,C,3.637,13.2673,0.2108,1.86,10.917,15506408000.0,5.676,17.240000000000002
45,CAG,3.0843,5.0932,0.4406,0.47,4.8062,13620000000.0,14.291000000000002,10.55
46,CAH,5.6407,13.2669,0.3619,0.46,4.7623,20889000000.0,11.811000000000002,9.17
47,CAT,4.8898,22.8636,0.1771,1.79,10.6092,91257000000.0,8.581999999999997,24.25
48,CB,11.8491,15.4434,0.7129,0.5,4.9381,21799000000.0,9.750000000000002,4.07
49,CBG,2.5272,7.8319,0.2154,2.15,12.1919,9177000000.0,10.732000000000001,12.919999999999998
50,CCI,6.7448,13.0439,0.4527,0.38,4.4106,14641000000.0,78.64,20.900000000000002
51,CCL,2.8604,11.0925,0.1821,1.43,9.0266,44796000000.0,12.149999999999999,11.639999999999999
52,CELG,12.5685,23.7668,0.4935,0.92,6.7845,19523000000.0,45.76700000000001,62.56999999999999
53,CERN,3.7618,11.8508,0.2465,0.52,5.026,10289000000.0,29.656,14.2
54,CF,1.8753,13.6292,0.076,1.83,10.7851,7354000000.0,9.413999999999998,57.56999999999999
55,CHK,-2.7968,8.1128,-0.4483,1.36,8.7189,27454000000.0,8.727999999999998,141.76999999999998
56,CHRW,1.9908,14.974,0.0769,0.59,5.3338,6643000000.0,21.644,10.59
57,CI,13.8757,22.7656,0.5726,0.7,5.8174,14341000000.0,8.645,4.79
58,CINF,7.0437,7.9125,0.784,0.73,5.9492,8883000000.0,13.936999999999998,46.61
59,CL,3.4346,8.9717,0.2892,0.32,4.1468,36341000000.0,18.070999999999998,10.559999999999999
60,CLX,8.3795,14.5133,0.5195,0.38,4.4106,12457000000.0,16.746000000000002,13.170000000000002
61,CMA,5.379,11.0878,0.4094,1.41,8.9387,11438000000.0,11.892999999999999,15.7
62,CME,6.703,17.0159,0.3446,1.11,7.6198,23084000000.0,14.383999999999997,10.41
63,CMG,41.4012,135.225,0.3,0.48,4.8502,10860000000.0,30.402000000000005,23.52
64,CMI,12.8331,32.1823,0.3727,1.7,10.2136,18016000000.0,10.297999999999998,40.83
65,CMS,3.6942,5.0274,0.5677,0.29,4.0149,11880000000.0,15.803,2.62
66,CNP,1.4474,4.0255,0.1509,0.43,4.6304,14533000000.0,18.509,17.12
67,COF,6.8921,16.3933,0.3692,1.16,7.8396,44109000000.0,7.044,10.24
68,COG,1.688,8.5228,0.0995,0.94,6.8725,8441000000.0,29.972999999999995,14.839999999999998
69,COL,5.2073,14.1954,0.3077,0.86,6.5208,8649000000.0,11.182000000000002,5.129999999999999
70,COST,14.402,19.6835,0.689,0.49,4.8942,39052000000.0,22.390000000000004,10.200000000000001
71,CPB,3.8043,7.6633,0.3868,0.21,3.6632,14278000000.0,13.458000000000002,2.2
72,CRM,7.1159,17.2379,0.3641,0.91,6.7406,17118000000.0,70.981,70.41
73,CSCO,0.7909,5.7954,-0.0085,1.41,8.9387,78287000000.0,8.506,11.879999999999997
74,CSX,2.8094,6.5217,0.302,1.31,8.4991,29362000000.0,11.809999999999999,20.96
75,CTAS,12.753,11.8697,1.0036,0.81,6.3009,6766000000.0,19.944,11.72
76,CTL,-1.8421,8.3762,-0.3202,0.53,5.07,38839000000.0,14.871,142.59
77,CTSH,4.6667,12.8974,0.2967,1.16,7.8396,17350000000.0,19.622999999999998,26.5
78,CTXS,6.6461,22.9144,0.2534,1.95,11.3126,11586000000.0,27.718999999999994,18.369999999999997
79,CVS,6.5689,13.0117,0.4403,1.02,7.2242,59784000000.0,11.687999999999999,12.160000000000002
80,CVX,5.5263,21.3281,0.2197,1.18,7.9275,187631000000.0,8.595000000000002,19.07
81,D,5.3818,9.8755,0.4599,0.24,3.7951,46583000000.0,14.569999999999997,9.21
82,DAL,5.4304,9.7128,0.4726,0.66,5.6415,9705000000.0,3.628,8.709999999999999
83,DE,6.719,19.4258,0.3026,1.35,8.6749,54876000000.0,10.761999999999999,3.8599999999999994
84,DFS,8.2207,10.2652,0.719,0.92,6.7845,200459000.0,9.449000000000002,56.54
85,DG,7.2926,14.664,0.44,0.12,3.2675,18292000000.0,15.290999999999997,10.92
86,DGX,4.3964,12.9123,0.2754,0.85,6.4768,12787000000.0,12.398999999999997,1.9099999999999997
87,DHI,2.3126,7.0516,0.2088,1.77,10.5213,5668000000.0,8.267,31.309999999999995
88,DHR,7.0584,9.5979,0.6479,1.18,7.9275,30980000000.0,16.23,8.16
89,DIS,10.3188,14.4459,0.6562,1.05,7.356,82743000000.0,14.972999999999999,2.04
90,DLTR,8.7418,14.1866,0.557,0.11,3.2236,10795000000.0,17.157000000000004,11.150000000000002
91,DOV,5.6888,15.0058,0.3231,1.52,9.4223,11286000000.0,13.940000000000001,17.35
92,DRI,5.3947,12.9436,0.3519,0.7,5.8174,6649000000.0,16.512,4.5600000000000005
93,DUK,3.8201,10.7586,0.277,0.17,3.4874,37191000000.0,14.556000000000001,36.019999999999996
94,DVA,4.897,11.3297,0.3581,0.65,5.5975,11676000000.0,13.940999999999999,6.74
95,DVN,-4.4193,18.6771,-0.2816,1.38,8.8068,36701000000.0,9.485,23.890000000000004
96,EA,8.6684,12.6938,0.6167,1.04,7.3121,4194000000.0,15.226000000000003,16.96
97,EBAY,2.8076,5.778,0.3405,0.87,6.5647,23111000000.0,13.451000000000002,24.28
98,ECL,10.2931,16.6194,0.5688,0.58,5.2898,19980000000.0,19.058,2.96
99,ED,4.0474,9.4232,0.3404,0.09,3.1357,27442000000.0,15.826000000000002,5.840000000000001
100,EFX,12.4084,14.6594,0.7891,0.93,6.8285,5474000000.0,14.141999999999996,9.829999999999998
101,EIX,5.3232,9.2132,0.4866,0.3,4.0589,25809000000.0,13.481,13.899999999999997
102,EL,7.4685,15.077,0.4396,1.28,8.3672,18977000000.0,22.429000000000002,3.34
103,EMN,6.3408,16.8621,0.3262,1.77,10.5213,5920000000.0,11.649999999999999,15.64
104,EMR,1.7734,12.3115,0.0758,1.31,8.4991,43434000000.0,12.790999999999999,49.20000000000001
105,EOG,7.2811,22.9043,0.2812,1.42,8.9826,29902000000.0,18.306000000000004,4.819999999999999
106,EQR,4.4279,13.3481,0.2688,0.72,5.9053,19519000000.0,18.372,13.34
107,EQT,2.9476,20.4916,0.1029,1.11,7.6198,4597000000.0,16.790000000000003,10.899999999999999
108,ETFC,2.3241,6.6019,0.2248,2.34,13.0272,13516000000.0,11.434000000000001,13.63
109,ETN,4.9957,14.4384,0.2878,1.74,10.3894,17978000000.0,8.965,16.17
110,ETR,-1.2414,13.0102,-0.16,0.29,4.0149,25663000000.0,12.570000000000002,11.64
111,EW,10.2734,18.9126,0.4988,0.62,5.4657,8500000000.0,29.705000000000002,9.75
112,EXC,-1.915,7.2752,-0.3787,0.57,5.2458,55453000000.0,13.851000000000003,16.54
113,EXPD,2.5572,10.5913,0.1621,1.26,8.2792,9271000000.0,20.567999999999998,9.279999999999998
114,EXPE,8.8157,29.1179,0.2739,0.73,5.9492,3552000000.0,13.422,3.2299999999999995
115,F,0.2646,3.8406,-0.1498,1.56,9.5981,121634000000.0,6.816,16.619999999999997
116,FAST,3.7135,10.3906,0.2765,0.85,6.4768,12538000000.0,25.836000000000002,44.699999999999996
117,FB,21.7625,23.6934,0.8831,3.29,17.2036,54620000000.0,33.51,3.539999999999999
118,FCX,-4.0818,12.9302,-0.3806,2.18,12.3238,46275000000.0,7.0200000000000005,6.18
119,FDX,14.6952,28.1424,0.4923,1.25,8.2353,26329000000.0,10.383000000000001,11.850000000000001
120,FE,-2.2597,7.9616,-0.3893,0.29,4.0149,35139000000.0,13.830000000000002,34.8
121,FFIV,12.9776,39.3325,0.3086,1.95,11.3126,7764000000.0,19.594,34.58
122,FIS,7.4113,10.5431,0.6233,0.81,6.3009,13567000000.0,11.472,6.44
123,FISV,11.6654,10.89,0.9941,1.02,7.2242,10921000000.0,12.248,1.8599999999999999
124,FL,8.5425,11.5316,0.668,1.1,7.5758,2860000000.0,14.039000000000001,41.66
125,FLIR,0.5077,7.5636,-0.0439,0.77,6.1251,3695000000.0,13.986,33.690000000000005
126,FLR,0.9311,17.8917,0.0051,1.81,10.6972,9842000000.0,15.805999999999997,21.76
127,FLS,2.2473,13.8561,0.1016,1.96,11.3566,6397000000.0,15.907000000000002,8.890000000000002
128,FMC,4.026,12.6105,0.2526,1.01,7.1802,5177000000.0,13.74,4.29
129,GD,14.7982,19.6373,0.7108,1.19,7.9715,30387000000.0,9.846,23.97
130,GILD,7.1452,19.9756,0.3156,0.81,6.3009,40132000000.0,16.653,9.290000000000001
131,GIS,3.7643,7.5571,0.387,0.04,2.9158,30130000000.0,13.658000000000001,19.56
132,GLW,0.6736,4.9267,-0.0338,1.6,9.774,12781000000.0,9.145,16.52
133,GM,0.1064,8.4953,-0.0864,1.7,10.2136,13581000000.0,5.248,4.119999999999999
134,GPC,8.2107,14.2243,0.5182,0.69,5.7734,8272000000.0,14.559999999999999,2.1000000000000005
135,GPS,0.2717,9.0204,-0.063,1.25,8.2353,10277000000.0,11.235,8.85
136,GRMN,2.3326,11.7255,0.1273,0.9,6.6966,5597000000.0,14.389999999999997,3.7
137,GT,2.2998,7.0817,0.2061,2.18,12.3238,5964000000.0,5.891,8.889999999999999
138,GWW,19.309,44.1816,0.418,0.99,7.0923,6519000000.0,15.934999999999999,32.9
139,HAL,3.2666,14.4371,0.1681,1.86,10.917,41763000000.0,8.264999999999999,7.590000000000001
140,HAS,6.4716,13.1017,0.4298,0.83,6.3889,7014000000.0,10.907,34.470000000000006
141,HBAN,1.3644,2.3079,0.2272,1.23,8.1474,11553000000.0,9.016,54.04
142,HCN,3.2737,12.991,0.1873,0.69,5.7734,12875000000.0,15.27,55.67999999999999
143,HCP,0.3338,8.4434,-0.06,0.6,5.3777,22153000000.0,14.544999999999998,5.380000000000001
144,HD,15.0757,15.6602,0.909,1.01,7.1802,57307000000.0,13.915000000000001,25.6
145,HES,-0.1244,20.9725,-0.046,1.86,10.917,24574000000.0,8.656,5.9399999999999995
146,HIG,3.4024,8.8386,0.2899,2.09,11.9281,29118000000.0,4.886999999999999,12.700000000000001
147,HOG,4.7025,14.5598,0.2653,1.56,9.5981,14434000000.0,12.526,6.5600000000000005
148,HON,10.798,15.5847,0.639,1.39,8.8508,45253000000.0,14.013,30.420000000000005
149,HP,5.0657,23.2739,0.1816,1.65,9.9938,5444000000.0,10.221999999999998,3.63
150,HPQ,-1.2842,4.4637,-0.4759,1.52,9.4223,69754000000.0,5.482,16.860000000000003
151,HRB,0.0472,6.9557,-0.114,0.97,7.0043,7641000000.0,9.875,12.85
152,HRL,3.6098,4.919,0.5631,0.48,4.8502,5024000000.0,15.768,24.269999999999996
153,HRS,7.7431,13.9423,0.4951,1.21,8.0594,7326000000.0,7.469999999999999,18.69
154,HST,1.004,4.7155,0.0348,1.72,10.3015,16487000000.0,21.441999999999997,3.5200000000000005
155,HSY,9.6123,15.5495,0.5642,0.09,3.1357,10843000000.0,10.386000000000001,11.210000000000003
156,HUM,22.6471,34.3441,0.635,0.66,5.6415,3190000000.0,12.048,6.9799999999999995
157,IBM,4.7969,32.1542,0.1231,0.65,5.5975,248372000000.0,14.745000000000001,5.92
158,IFF,10.8437,18.2965,0.5468,0.76,6.0811,4810000000.0,9.06,23.439999999999998
159,INTC,2.2011,6.3291,0.215,0.99,7.0923,68710000000.0,16.276999999999997,5.889999999999999
160,INTU,11.985,16.5337,0.6741,0.75,6.0372,14954000000.0,9.164,8.099999999999998
161,IP,3.755,10.1842,0.2862,1.49,9.2904,19592000000.0,13.092999999999998,14.05
162,IPG,2.2711,4.1093,0.3483,2.05,11.7523,4866000000.0,30.163000000000004,6.419999999999999
163,IRM,1.6197,7.9842,0.0976,0.68,5.7294,7564000000.0,29.028999999999996,31.1
164,ISRG,46.5385,136.1791,0.3356,1.04,7.3121,17340000000.0,14.249,10.879999999999999
165,ITW,10.5677,14.0435,0.6927,1.26,8.2792,25817000000.0,10.909666666666666,4.700000000000001
166,IVZ,1.0011,8.2028,0.0196,2.19,12.3677,16089000000.0,15.309000000000001,26.520000000000003
167,JEC,2.653,12.7266,0.1425,1.69,10.1696,5406000000.0,13.935999999999998,9.73
168,JNPR,0.1545,8.8209,-0.0777,2.15,12.1919,8614000000.0,6.780999999999999,5.680000000000001
169,JPM,6.2128,12.6029,0.4263,1.63,9.9058,95383000000.0,12.839000000000002,11.86
170,JWN,1.4316,15.2652,0.0388,1.3,8.4551,12796000000.0,14.955999999999998,4.449999999999999
171,K,2.9862,10.0333,0.2139,0.44,4.6743,23569000000.0,8.909,8.92
172,KEY,1.7634,3.0325,0.3045,1.57,9.6421,27196000000.0,13.409,16.990000000000002
173,KIM,1.6447,4.8183,0.167,1.33,8.587,11805000000.0,17.06,21.349999999999998
174,KLAC,5.9725,16.0689,0.3194,1.61,9.8179,5133000000.0,13.8,7.279999999999999
175,KMB,7.5085,14.6644,0.4547,0.05,2.9598,34914000000.0,25.402,186.81
176,KMI,-3.955,8.2598,-0.5805,0.71,5.8613,37795000000.0,19.909,14.949999999999998
177,KMX,5.7794,13.5355,0.3649,1.76,10.4774,9062000000.0,15.944999999999999,45.959999999999994
178,KO,1.8507,5.7089,0.177,0.37,4.3666,169535000000.0,9.620000000000001,8.67
179,KR,3.4711,5.2311,0.503,0.73,5.9492,23118000000.0,9.687000000000001,2.1399999999999997
180,KSS,-0.6579,15.0665,-0.0994,0.6,5.3777,14596000000.0,21.970000000000002,15.299999999999997
181,KSU,7.3226,24.6999,0.2625,1.28,8.3672,3960000000.0,15.947000000000003,5.119999999999999
182,LEG,4.0575,7.2821,0.4418,1.07,7.444,3903000000.0,18.366000000000003,21.81
183,LEN,4.2791,11.0615,0.3109,1.82,10.7411,6703000000.0,11.497000000000002,9.04
184,LH,7.4384,20.1169,0.328,0.71,5.8613,10062000000.0,9.748999999999999,11.750000000000002
185,LLL,9.1733,21.2692,0.3918,1.09,7.5319,14134000000.0,9.981,4.87
186,LLY,5.3961,12.8767,0.3538,0.42,4.5864,42120000000.0,9.886,6.17
187,LMT,24.7552,25.7167,0.93,0.6,5.3777,29938000000.0,12.093,9.32
188,LOW,6.8592,10.7081,0.5621,1.12,7.6638,30891000000.0,9.724999999999998,49.739999999999995
189,LRCX,9.4178,17.258,0.497,1.23,8.1474,3728000000.0,19.467999999999996,46.98
190,LUK,-0.1215,7.2115,-0.1333,1.89,11.0489,9686000000.0,8.340000000000002,20.060000000000002
191,LUV,5.5291,8.0067,0.5857,0.9,6.6966,6373000000.0,10.360000000000001,30.580000000000002
192,LYB,9.5499,21.0821,0.4131,2.51,13.7745,34059000000.0,17.814,5.11
193,M,2.6816,11.9584,0.154,0.83,6.3889,19445000000.0,15.103,25.590000000000003
194,MA,11.0934,14.6744,0.6987,0.81,6.3009,44283000000.0,17.443,22.300000000000004
195,MAC,5.1487,14.996,0.2873,1.08,7.4879,9925000000.0,13.791999999999998,7.32
196,MAR,8.1004,12.751,0.5694,1.31,8.4991,10177000000.0,11.195000000000002,10.530000000000001
197,MAS,2.7264,5.871,0.3213,1.88,11.0049,9141000000.0,14.790999999999997,5.85
198,MAT,1.0812,7.5757,0.0318,0.65,5.5975,9125000000.0,16.681,9.91
199,MCD,8.4296,14.4981,0.5235,0.34,4.2347,105026000000.0,12.565,12.099999999999998
200,MCHP,5.0014,10.1076,0.4117,1.08,7.4879,4386000000.0,11.775,3.97
201,MCK,11.0254,34.3445,0.2966,0.63,5.5096,16583000000.0,6.15,14.219999999999999
202,MCO,9.5823,16.862,0.5185,1.58,9.686,9252000000.0,16.070999999999998,7.12
203,MET,2.5157,12.6536,0.1324,1.95,11.3126,70641000000.0,13.749,6.26
204,MKC,8.1564,11.0569,0.6617,0.43,4.6304,5531000000.0,12.035999999999998,7.2
205,MMC,6.5388,7.311,0.7795,0.74,5.9932,17898000000.0,24.717999999999996,7.32
206,MMM,13.6655,21.0357,0.6097,1.07,7.444,45187000000.0,13.694999999999999,25.000000000000004
207,MNST,5.4052,9.3739,0.487,0.05,2.9598,5176000000.0,20.946000000000005,32.010000000000005
208,MO,6.8406,6.7763,0.8855,0.46,4.7623,66213000000.0,6.976000000000001,26.610000000000003
209,MON,3.115,20.9808,0.1084,1.46,9.1585,44127000000.0,9.965,47.410000000000004
210,MOS,-4.631,17.794,-0.3075,1.59,9.73,24314000000.0,7.1899999999999995,33.36
211,MPC,4.5862,14.9059,0.2513,2.93,15.6209,22936000000.0,8.617,11.709999999999997
212,MRK,3.1264,9.4218,0.2427,0.39,4.4545,111283000000.0,11.379,25.75
213,MRO,-0.2637,8.6189,-0.1281,1.5,9.3343,23041000000.0,12.065000000000001,9.61
214,MSFT,4.4608,8.9497,0.4046,1.18,7.9275,178396000000.0,12.432000000000002,17.28
215,MTB,12.7888,23.3784,0.5111,0.63,5.5096,19768000000.0,15.466,11.099999999999998
216,MU,1.5832,7.0731,0.1051,1.7,10.2136,4823000000.0,9.393,25.23
217,MYL,2.7789,13.5069,0.1435,1.21,8.0594,4886000000.0,10.286000000000001,41.88
218,NBL,0.2074,14.5291,-0.0435,1.48,9.2464,16619000000.0,68.845,42.56
219,NDAQ,6.7047,8.8275,0.6644,1.13,7.7077,6104000000.0,9.965,9.080000000000002
220,NEM,-2.0566,14.0782,-0.2058,0.22,3.7072,27813000000.0,15.575999999999997,40.530000000000015
221,NFLX,16.6131,28.0667,0.562,1.75,10.4334,6929000000.0,12.431000000000001,41.22
222,NFX,-1.3472,16.8961,-0.1295,1.41,8.9387,7039000000.0,11.548,13.4
223,NKE,4.9331,8.742,0.4682,0.61,5.4217,42178000000.0,14.203999999999999,18.159999999999997
224,NOV,-0.5892,18.1578,-0.0787,2.25,12.6315,29432000000.0,12.474,6.32
225,NSC,7.9347,19.655,0.361,1.21,8.0594,31597000000.0,11.242,22.18
226,NTAP,0.1545,12.2338,-0.056,1.67,10.0817,14446000000.0,13.453999999999999,8.39
227,NTRS,5.2231,13.5399,0.3237,1.1,7.5758,18718000000.0,8.025000000000002,30.85
228,NUE,1.6776,11.683,0.0717,1.25,8.2353,17643000000.0,12.106,8.559999999999999
229,NVDA,12.6215,12.9705,0.9083,1.64,9.9498,5844000000.0,19.913999999999998,6.789999999999999
230,NWL,4.2119,7.3083,0.4614,1.35,8.6749,5955000000.0,11.958,3.0
231,NWSA,-1.2261,3.6847,-0.5607,1.17,7.8836,49541000000.0,16.092,17.74
232,OKE,5.3571,11.9473,0.3781,0.95,6.9164,13324000000.0,10.853,9.540000000000001
233,OMC,6.5059,11.8141,0.4796,1.46,9.1585,14125000000.0,17.062,12.45
234,ORLY,34.3118,34.5929,0.9676,0.49,4.8942,6223000000.0,16.089999999999996,22.669999999999998
235,OXY,-1.2186,22.0959,-0.0932,1.59,9.73,77751000000.0,12.623999999999999,3.9300000000000006
236,PAYX,4.2992,6.9722,0.4961,0.9,6.6966,10401000000.0,11.687999999999999,27.560000000000002
237,PBCT,0.3733,2.7919,-0.1672,0.82,6.3449,3460000000.0,16.26,16.759999999999998
238,PCAR,3.903,13.3585,0.2293,1.72,10.3015,20144000000.0,29.497000000000003,10.889999999999999
239,PCG,2.3269,8.3647,0.1778,0.29,4.0149,26702000000.0,11.771999999999998,29.699999999999996
240,PCLN,177.6443,267.3748,0.6613,1.63,9.9058,30705000000.0,13.313999999999998,11.45
241,PDCO,1.7477,8.3315,0.1089,0.77,6.1251,5580000000.0,9.104000000000001,8.510000000000002
242,PEG,1.4659,6.9722,0.0898,0.22,3.7072,25675000000.0,13.313999999999998,24.580000000000005
243,PEP,6.2056,11.4832,0.4673,0.35,4.2787,130414000000.0,14.017,0.42000000000000004
244,PFE,1.9379,4.9449,0.222,0.81,6.3009,112477000000.0,12.2,8.889999999999997
245,PFG,4.6996,10.5001,0.3676,1.62,9.8619,13187000000.0,12.06,8.629999999999999
246,PG,3.2837,10.6586,0.2293,0.34,4.2347,204937000000.0,6.812,1.78
247,PGR,2.4985,4.5635,0.3634,0.59,5.3338,13262000000.0,12.113999999999999,15.27
248,PH,12.2253,24.51,0.4645,1.62,9.8619,11005000000.0,14.269,26.409999999999997
249,PHM,1.1642,5.4084,0.0599,2.24,12.5875,8161000000.0,8.299000000000001,14.7
250,PKI,4.5065,8.61,0.4258,1.05,7.356,3708000000.0,16.584,11.209999999999999
251,PM,6.0268,13.8774,0.3738,0.86,6.5208,149181000000.0,13.683000000000002,32.05
252,PNC,9.0746,16.8835,0.4877,1.08,7.4879,39330000000.0,11.879,3.94
253,PNR,3.2451,13.5688,0.1773,1.15,7.7957,4519000000.0,11.705000000000002,5.84
254,PNW,5.8852,9.5541,0.5281,0.26,3.883,7998000000.0,6.439000000000002,27.560000000000002
255,PPG,9.219,16.874,0.4966,1.22,8.1034,14899000000.0,18.94,42.32
256,PPL,0.226,5.5548,-0.1105,0.15,3.3994,29301000000.0,17.137999999999998,8.8
257,PRU,7.4785,19.4934,0.3405,1.62,9.8619,16597000000.0,14.265999999999996,49.65
258,PWR,1.9465,7.7612,0.1426,0.61,5.4217,4227000000.0,17.375000000000004,16.22
259,PX,5.0958,19.2615,0.2209,0.75,6.0372,31619000000.0,35.697,32.71
260,QCOM,2.6115,15.1575,0.1169,1.16,7.8396,78264000000.0,13.760000000000002,15.199999999999998
261,RHI,3.0978,10.3439,0.2183,1.51,9.3783,3743000000.0,12.233,28.07
262,RHT,5.5177,17.3448,0.2697,1.05,7.356,5721000000.0,18.505,13.64
263,RL,1.2528,40.1844,0.0103,1.33,8.587,8206000000.0,12.997,13.739999999999998
264,ROK,12.3955,24.1839,0.4778,1.42,8.9826,10697000000.0,15.65,20.459999999999997
265,ROP,18.6697,25.3516,0.7033,1.08,7.4879,5624000000.0,18.133999999999997,11.500000000000002
266,ROST,7.8557,8.605,0.8153,0.56,5.2019,8200000000.0,21.279,24.099999999999994
267,RRC,-2.6087,21.3201,-0.1618,0.96,6.9604,7636000000.0,13.794,6.34
268,RSG,4.0575,6.142,0.5238,0.59,5.3338,14092000000.0,16.082,12.39
269,SBUX,6.2921,8.2266,0.6627,0.78,6.1691,25520000000.0,15.866999999999999,14.419999999999998
270,SCG,5.1044,8.8766,0.4804,0.31,4.1028,8209000000.0,13.556999999999999,12.719999999999997
271,SCHW,2.816,6.7266,0.2938,1.69,10.1696,7883000000.0,13.711000000000002,8.120000000000001
272,SEE,3.3352,8.4904,0.2939,1.19,7.9715,5214000000.0,12.232999999999999,4.839999999999999
273,SHW,29.615,41.8194,0.6881,0.58,5.2898,8291000000.0,15.176000000000002,35.04
274,SJM,9.4221,18.0631,0.4751,0.49,4.8942,6716000000.0,11.908,13.37
275,SNA,18.3651,21.8945,0.8004,1.36,8.7189,3937000000.0,25.816000000000003,4.45
276,SO,2.2797,6.2382,0.2308,0.09,3.1357,51578000000.0,14.145,19.57
277,SPG,14.7921,29.2698,0.4767,0.76,6.0811,37226000000.0,9.919,20.01
278,SRCL,3.1293,24.6005,0.0931,0.23,3.7511,8192000000.0,10.368,10.36
279,SRE,6.3987,14.5762,0.3814,0.38,4.4106,26677000000.0,6.476000000000001,27.1
280,STI,4.9213,9.2777,0.4399,1.71,10.2575,46796000000.0,10.425,8.52
281,STT,4.7568,14.7401,0.2657,1.68,10.1257,30070000000.0,12.086,12.75
